Country;CountryID;Continent;Gross national income per capita (PPP international $);Population (in thousands) total;Population annual growth rate (%);Population in urban areas (%);"Population living below the poverty line (% living on &lt; US$1 per day)";Population median age (years);Population proportion over 60 (%);Population proportion under 15 (%);Age-standardized mortality rate for cancer (per 100 000 population);Age-standardized mortality rate for cardiovascular diseases (per 100 000 population);Age-standardized mortality rate for injuries (per 100 000 population);Age-standardized mortality rate for non-communicable diseases (per 100 000 population);Cell_phones_per_100_people;Cell_phones_total;Infant_mortality_rate;Malnutrition_weight_for_age
Puerto Rico;147;5;;;;;;;;;;;;;84.8;2346750;;
Qatar;148;1;;821;3.1;96;;31;3;21;75;340;40;629;92.2;490333;18;
Romania;149;2;10150;21532;-0.4;54;2;37;19;15;141;479;56;728;61.8;1.02E+07;16;3.5
Russia;150;2;12740;143221;-0.5;73;2;37;17;15;152;688;217;960;83.6;7.44E+07;;
Rwanda;151;3;730;9464;2.5;20;60.3;18;4;43;150;425;126;831;3.2;138728;100;18
Saint Kitts and Nevis;152;5;12440;50;1.3;33;;;11;28;108;420;45;689;20.74;8750;;
Saint Lucia;153;5;8500;163;1.1;28;;26;10;27;129;304;52;646;65.7;93000;;
Saint Vincent and the Grenadines;154;5;6220;120;0.5;46;;25;9;29;155;315;55;685;59.3;56950;;
Samoa;155;6;5090;185;0.8;23;;20;7;40;95;417;40;782;13.4;10500;24;
San Marino;156;2;;31;1.4;93;;;26;14;140;223;22;380;;;;
Sao Tome and Principe;157;3;1490;155;1.6;59;;19;6;41;133;396;87;764;7.6;4819;63;10.1
Saudi Arabia;158;1;22300;24175;2.4;81;;24;4;34;109;405;72;701;57.6;9175764;21;
Senegal;159;3;1560;12072;2.5;42;17;19;6;42;146;426;125;832;14.8;1028061;61;14.5
Serbia;160;2;9320;9851;-0.1;52;;37;19;18;;;;;;;;
Seychelles;161;3;14360;86;0.7;51;;;10;24;131;336;69;657;72.9;43076.25;12;
Sierra Leone;162;3;610;5743;2.8;41;;18;5;43;181;515;250;1017;2.2;113214;160;24.7
Singapore;163;6;43300;4382;1.3;100;;38;13;19;128;171;23;376;100.8;3860600;2;3.3
Slovakia;164;2;17060;5388;0;56;;36;16;16;170;371;50;636;84.1;4275164;7;
Slovenia;165;2;23970;2001;0.1;51;;41;21;14;160;228;59;503;89.4;1739146;3;
